pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
641.012488,308.738681,738.010000,319.880000,711.735874,283.114266,721.985640,305.663752,667.180000,285.830000,647.162348,312.838588,588.630000,430.780000
645.112395,308.738681,742.020000,321.200000,719.935687,285.164219,727.110523,305.663752,670.790000,287.840000,646.137371,311.813611,588.130000,432.440000
649.212301,310.788635,746.660000,322.800000,723.010617,286.189196,733.260383,307.713705,674.220000,290.910000,661.512020,313.863564,587.860000,433.470000
654.337184,310.788635,751.080000,324.560000,727.110523,288.239149,736.335313,309.763658,678.150000,292.090000,667.661880,314.888541,588.370000,434.180000
659.462067,312.838588,755.750000,326.170000,732.235406,289.264126,736.335313,310.788635,681.750000,293.590000,676.886670,318.988447,588.450000,435.070000
662.536997,313.863564,759.570000,327.200000,737.360289,291.314079,743.510149,311.813611,686.111459,292.339056,685.086482,323.088354,588.540000,436.090000
667.661880,314.888541,764.010000,329.070000,741.460196,292.339056,744.535126,313.863564,691.236342,293.364032,691.236342,323.088354,588.940000,437.130000
671.761787,315.913518,768.020000,330.660000,747.610055,296.438962,750.684985,314.888541,694.311272,296.438962,700.461132,322.063377,587.900000,438.170000
676.886670,318.988447,772.070000,332.650000,749.660009,295.413985,751.709962,317.963471,703.536061,297.463939,704.561038,325.138307,587.240000,439.730000
680.986576,320.013424,775.970000,334.440000,754.784892,298.488915,757.859821,320.013424,704.770000,302.040000,711.735874,326.163284,586.410000,441.860000
685.086482,324.113330,780.450000,335.680000,759.909775,300.538868,761.959728,321.038401,710.710898,299.513892,712.760851,329.238213,585.770000,443.590000
688.161412,324.113330,786.190000,336.750000,764.009681,301.563845,767.084611,324.113330,713.785827,304.638775,713.785827,329.238213,585.200000,445.220000
692.261319,325.138307,791.709026,338.888073,768.109588,302.588822,769.134564,326.163284,717.885734,304.638775,717.885734,333.338120,585.230000,446.170000
696.361225,326.163284,794.833909,340.938026,772.209494,302.588822,773.234471,327.188260,719.935687,306.688728,721.985640,335.388073,584.880000,447.380000
700.461132,329.238213,797.858886,342.438026,772.209494,304.638775,777.334377,328.213237,725.060570,310.788635,721.985640,335.388073,584.680000,448.620000
703.536061,329.238213,800.958792,344.537933,780.409307,309.763658,780.409307,330.263190,728.135500,311.813611,724.035593,335.388073,584.300000,450.560000
708.660944,332.313143,804.060000,346.920000,779.384330,309.763658,784.509213,333.338120,734.285360,313.863564,726.085547,338.463003,582.830000,452.180000
710.710898,334.363097,807.090000,348.720000,783.484237,310.788635,788.609120,334.363097,737.360289,314.888541,730.185453,338.463003,582.100000,453.600000
713.785827,334.363097,810.660000,349.730000,787.584143,313.863564,792.709026,335.388073,742.485172,316.938494,731.210430,339.487980,581.200000,455.200000
715.835781,335.388073,814.100000,351.050000,NaN,NaN,794.758979,336.413050,744.535126,316.938494,736.335313,338.463003,580.560000,456.390000
716.860757,336.413050,817.930000,352.340000,793.734003,314.888541,799.883862,338.463003,746.585079,320.013424,738.385266,342.562909,580.170000,456.790000
721.985640,336.413050,821.870000,353.150000,796.808933,314.888541,801.933816,339.487980,749.660009,320.013424,744.535126,343.587886,579.700000,458.000000
725.060570,335.388073,825.880000,354.900000,800.908839,317.963471,806.033722,340.512956,753.100000,320.620000,744.535126,345.637839,579.090000,459.070000
726.050000,341.580000,829.880000,356.660000,801.933816,317.963471,808.083675,342.562909,755.780000,321.400000,747.610055,343.587886,578.290000,460.040000
728.135500,343.587886,832.870000,357.790000,805.008745,321.038401,814.233535,342.562909,759.420000,321.690000,748.635032,347.687792,577.810000,461.140000
734.285360,345.637839,835.580000,359.230000,806.033722,324.113330,818.333441,344.612863,762.320000,322.330000,752.734938,353.837652,577.060000,462.050000
738.385266,348.712769,838.210000,360.760000,813.208558,325.138307,821.408371,345.637839,764.810000,323.030000,753.759915,354.862629,576.080000,464.170000
741.460196,347.687792,841.510000,362.220000,818.333441,325.138307,824.483301,348.712769,768.550000,324.990000,754.784892,354.862629,575.000000,465.170000
744.970000,349.680000,845.100000,362.830000,821.408371,326.163284,828.583207,348.712769,771.900000,326.640000,757.859821,355.887605,574.070000,466.140000
748.635032,351.787699,848.260000,364.180000,824.483301,325.138307,831.658137,350.762722,774.450000,328.030000,758.884798,356.912582,573.010000,466.990000
749.540000,356.840000,850.850000,365.430000,829.608184,327.188260,831.658137,351.787699,776.840000,328.070000,762.984705,358.962535,572.010000,467.900000
751.120000,358.230000,853.970000,366.160000,833.708090,329.238213,835.758044,352.812675,779.290000,329.330000,766.059634,363.062442,571.500000,468.910000
753.250000,358.160000,856.860000,367.420000,837.807997,331.288167,839.857950,353.837652,781.770000,330.080000,770.159541,361.012488,570.970000,469.900000
757.050000,358.370000,859.840000,367.860000,840.882927,332.313143,840.882927,354.862629,785.230000,332.950000,770.159541,361.012488,569.940000,470.900000
764.009681,354.862629,861.930000,368.950000,839.857950,332.313143,843.957856,355.887605,789.634096,333.338120,774.259447,359.987512,567.890000,471.770000
767.084611,353.837652,864.650000,370.010000,841.907903,332.313143,846.007810,356.912582,792.709026,333.338120,774.259447,364.087418,566.320000,472.500000
768.109588,354.862629,867.130000,370.900000,843.957856,333.338120,850.107716,357.937558,793.734003,334.363097,778.359354,362.037465,564.930000,473.340000
769.134564,354.862629,869.810000,371.710000,846.007810,335.388073,853.182646,358.962535,794.758979,337.438026,780.409307,364.087418,563.300000,473.880000
NaN,NaN,872.090000,373.020000,850.107716,336.413050,855.680000,359.780000,797.833909,337.438026,786.559166,361.012488,562.850000,474.470000
771.184517,357.937558,874.030000,373.400000,853.182646,336.413050,858.140000,360.980000,802.958792,337.438026,790.659073,361.012488,561.970000,474.840000
780.409307,355.887605,876.000000,373.770000,856.257576,337.438026,860.540000,361.810000,801.933816,338.463003,792.709026,363.062442,560.770000,475.570000
778.070000,361.350000,878.030000,375.360000,857.282552,342.562909,863.070000,362.970000,807.058699,340.512956,798.858886,363.062442,559.400000,476.020000
