pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
333.519506,347.687792,393.993126,349.737746,360.168898,313.863564,390.230603,352.048125,355.950000,348.890000,426.855393,393.368401
328.460000,349.960000,398.093032,349.737746,367.343734,311.813611,392.108797,352.048125,357.930000,349.060000,426.855393,392.429304
330.940000,349.520000,401.167962,349.737746,368.368711,312.838588,393.986992,352.987223,361.600000,348.790000,430.611782,394.307498
335.000000,349.900000,402.192939,349.737746,371.443641,312.838588,395.865186,352.987223,364.090000,349.090000,431.550879,396.185693
336.900000,350.770000,406.292845,350.762722,373.493594,311.813611,397.743380,352.048125,365.940000,349.050000,433.429073,394.307498
337.240000,350.890000,408.342799,350.762722,375.543547,309.763658,398.682478,352.048125,367.790000,348.680000,432.489976,393.368401
337.900000,350.440000,411.417728,350.762722,376.568524,310.788635,403.377964,352.987223,371.570000,348.950000,437.185462,398.063887
339.200000,349.830000,414.492658,350.762722,379.643454,311.813611,405.256158,353.926320,374.020000,349.040000,438.124559,398.063887
339.560000,350.020000,413.467682,351.787699,384.768337,309.763658,408.073449,353.926320,376.020000,348.700000,438.124559,396.185693
342.710000,349.890000,417.567588,351.787699,383.743360,310.788635,410.890741,352.987223,377.900000,347.290000,438.124559,397.124790
344.290000,350.980000,417.567588,351.787699,386.818290,310.788635,412.768935,354.865417,381.380000,346.400000,442.820045,399.002984
346.090000,351.330000,420.642518,353.837652,390.918196,310.788635,413.708032,355.804514,383.030000,346.040000,442.820045,397.124790
346.680000,351.150000,424.742424,353.837652,396.043079,309.763658,415.586227,355.804514,384.910000,346.010000,444.698239,399.002984
348.950000,352.270000,426.792377,354.862629,398.093032,309.763658,418.403518,354.865417,386.870000,345.950000,445.637336,397.124790
348.894155,349.737746,426.792377,353.837652,401.167962,309.763658,420.281713,354.865417,390.590000,345.760000,447.515531,398.063887
354.019038,351.787699,428.842331,354.862629,402.192939,309.763658,424.038101,356.743611,393.280000,345.710000,448.454628,399.942081
355.830000,352.370000,430.892284,354.862629,406.292845,310.788635,427.794490,356.743611,393.540000,345.530000,448.454628,399.942081
360.168898,352.812675,432.942237,354.862629,410.392752,310.788635,427.794490,356.743611,395.780000,345.810000,450.332822,399.942081
363.243828,355.887605,433.967214,353.837652,411.417728,310.788635,428.733587,356.743611,399.750000,345.680000,452.211017,396.185693
363.243828,355.887605,438.067120,354.862629,413.467682,308.738681,432.489976,355.804514,402.430000,345.820000,454.089211,397.124790
365.293781,359.987512,439.092097,354.862629,416.542611,307.713705,432.489976,355.804514,403.110000,345.360000,454.089211,397.124790
365.293781,358.962535,442.167027,356.912582,417.567588,309.763658,435.307267,355.804514,406.090000,344.860000,459.723794,397.124790
367.343734,359.987512,444.216980,355.887605,421.667494,308.738681,437.185462,356.743611,407.690000,344.830000,461.601988,396.185693
371.443641,362.037465,447.291910,356.912582,422.692471,306.688728,436.246365,356.743611,409.880000,345.030000,465.358377,395.246595
370.418664,359.987512,448.316886,356.912582,424.742424,306.688728,440.002753,355.804514,411.920000,344.460000,468.175669,396.185693
374.518571,361.012488,450.366839,356.912582,428.842331,306.688728,442.820045,355.804514,414.390000,343.810000,469.114766,395.246595
375.543547,364.087418,452.416793,357.937558,431.917260,306.688728,443.759142,356.743611,416.700000,344.070000,473.810252,394.307498
377.593500,365.112395,454.466746,358.962535,432.942237,304.638775,445.637336,356.743611,418.950000,344.090000,476.627543,395.246595
377.593500,367.162348,455.491722,358.962535,436.017167,303.613798,447.515531,358.621806,420.910000,344.010000,477.566640,396.185693
379.643454,366.137371,457.541676,358.962535,439.092097,304.638775,449.393725,356.743611,422.159907,343.596251,481.323029,396.185693
381.693407,367.162348,458.566652,358.962535,441.142050,304.638775,451.271919,358.621806,423.780000,343.800000,484.140321,395.246595
384.768337,368.187325,461.641582,359.987512,442.167027,304.638775,455.028308,358.621806,425.330000,343.980000,486.018515,396.185693
380.668430,370.237278,464.716512,358.962535,443.192003,304.638775,455.967405,358.621806,426.720000,344.150000,490.714001,395.246595
382.718383,368.187325,464.716512,359.987512,448.316886,304.638775,456.906502,359.560903,431.550879,344.535348,490.714001,395.246595
